dataset/Cou001_The same as you..wav|同じで
dataset/Cou011_So I have....wav|私は…
dataset/Cou012_Actually, I haven’t..wav|そんな言葉知らない
dataset/Cou011_I’m not sick?.wav|私、病気じゃない?
dataset/Cou011_Sensei, why are you so kind to me? Is it because it is your job?.wav|先生は、なんでレイにそんなに優しくしてくれるの? お仕事だから?
dataset/Cou012_Aren't those symptoms of schizophrenia?.wav|精神分裂病の症状
dataset/Cou012_Goodbye..wav|さようなら
dataset/Cou011_You would do that for anybody?.wav|誰にでもそういう風にするの?
dataset/Cou012_Goodbye, Touko-sensei..wav|さようなら 東子先生
dataset/Cou011_You’re absolutely sure you can cure me?.wav|絶対? 三
dataset/Cou012_That makes me feel better..wav|よかった
dataset/Cou012_I will..wav|うん!
dataset/Cou012_By "what's bothering me", you mean... my nightmares? Me seeing strange things? Feeling like someone is touching me when no one is there?.wav|私が問題にしていることって 怖い夢を見ること? 変なものが見えること? 何も触れてないのに何かに触られてるって感じること?
dataset/Cou012_If you lie can I cut off your finger?.wav|嘘ついたら針千本?
dataset/Cou012_Not at all! But I’ll do what you asked me to do, Sensei..wav|ううん、でも先生の言う通りにする
dataset/Cou012_Then will you help me find what’s wrong?.wav|先生は教えてくれる?
dataset/Cou012_Just call me Lain. It’s a bit weird for a "big sister" to call me Lain-chan..wav|メインでいいよ だって妹にちゃんづけするなんて変だよ
dataset/Cou012_You’re goofy, Sensei..wav|変な先生
dataset/Cou013_Because I’m sick?.wav|病気だから?
dataset/Cou012_I looked it up in a book..wav|本で調べたの
dataset/Cou013_Both?.wav|どっちも起きている
dataset/Cou012_You’re my big sister then?.wav|じゃあ先生はレインのお姉ちゃん?
dataset/Cou012_You’re tired of me?.wav|レインは疲れる?
dataset/Cou013_From the electric lines. Somehow....wav|厳選…なんとなく…
dataset/Cou012_I just wanted to know... what's going on with me..wav|でも、知りたかったの。 自分がどうなっているかって。
dataset/Cou013_Hello, Touko-san..wav|こんにちはトウコさん
dataset/Cou013_From the sky..wav|ソラン
dataset/Cou013_I don’t know..wav|わからないの
dataset/Cou013_Is it when a demon comes out and you can’t move your body?.wav|お化けが出て体が動けなくなること?
dataset/Cou013_It sounds like someone talking..wav|話し声みたいな
dataset/Cou013_Many times..wav|何度も会った
dataset/Cou013_I don't really know. Sometimes it seems to come from the sky; not the electric lines..wav|よくわからない。 時々、電線じゃなくて空から聞こえる気もする。
dataset/Cou013_No. It isn’t..wav|うん、怖くない
dataset/Cou013_I haven't seen nightmares much lately. Sometimes I hear things, though..wav|うん。でもこの頃見ないよ。聞こえる時はあるけど。
dataset/Cou013_I don’t like hearing it, so I try my best to ignore it..wav|あんまり聞きたくないから気にしないようにしてる
dataset/Cou013_Sort of....wav|なんとなく
dataset/Cou013_Run out of the room..wav|逃げると思う
dataset/Cou013_Uh, huh..wav|うん。
dataset/Cou013_No. I’m not scared now. But....wav|大丈夫 だって怖くないもん ただ
dataset/Cou013_Uh-huh..wav|うん。
dataset/Cou013_I don’t know. It can be a man’s voice or a woman’s voice..wav|わからない。男の人だったり、女の人だったり。
dataset/Cou013_Why?.wav|なんでなの?
dataset/Cou014_But....wav|でも
dataset/Cou014_But I’m scared and I hate this..wav|でも怖いし嫌
dataset/Cou014_A diary?.wav|ニッキー?
dataset/Cou014_I was afraid, and I felt better after staying motionless for a while..wav|怖くて、じっとしていたら治ったの。
dataset/Cou014_I don't know..wav|わからない
dataset/Cou014_It isn’t painful, but it’s frightening..wav|痛くないけど怖い
dataset/Cou014_I feel that I am being told to come back because I’m unneeded..wav|いらないから戻ってこいって 言われてる気がするの
dataset/Cou014_Suddenly....wav|いつの間にか
dataset/Cou014_I don’t know. But it feels as if there was another myself, touching my body, ripping it apart.wav|わからない。けど、私みたいな私が、私の体を触って、引きちぎるみたいに。
dataset/Cou014_I start to feel that I don't belong. Like I am an unneeded thing..wav|自分がいらないような気になるの 自分がいらないものだって
dataset/Cou014_That will cure me?.wav|それで治るの?
dataset/Cou014_Thank you..wav|ありがとう
dataset/Cou014_To myself..wav|私に
dataset/Cou014_Sometimes it happens when I’m all by myself, and sometimes when I’m talking to my friends..wav|一人でぼんやりしていたり、お友達と話していた時にもなった。
dataset/Cou015_A different me?.wav|違う自分?
dataset/Cou015_I don’t believe that I’m anyone chosen. I’m okay with being ordinary..wav|私は選ばれた人だなんて思ってないよ 普通でいいんだもの
dataset/Cou015_I’ll pay you for the diary..wav|お金払うよ
dataset/Cou015_I decided to keep a diary..wav|うん、つけることにした
dataset/Cou015_Ha, ha..wav|hehe
dataset/Cou015_I don’t feel that way. I think that I’m just me..wav|私はそんな風に思ってないよ。私は私なもの。
dataset/Cou014_Yes. While I’m just talking, it suddenly....wav|うん。普通に話していたら、急に…
dataset/Cou015_You’re very busy?.wav|忙しいの?
dataset/Cou016_Accept?.wav|受け止める?
dataset/Cou015_I’m doing okay. How about you, Touko-san?.wav|別に…大丈夫だよ。トウコさんは?
dataset/Cou015_But you’re funny, Sensei. You’re a lot of fun..wav|でも先生おかしい なんか楽しい
dataset/Cou016_I can’t..wav|できないよ
dataset/Cou015_Uh-huh. I looked into it. It’s about knowing that you are yourself?.wav|うん。前に調べた時に覚えた。 自分が自分であるって認識すること?
dataset/Cou016_Do you think I’m trying to run away from myself?.wav|私も自分から逃げてる?
dataset/Cou016_I didn’t lie to you. I didn’t see any ghosts or phantoms. You’re a big jerk!.wav|私、嘘なんかついてない。 あれは、幽霊とかお化けじゃない。 先生のバカ!
dataset/Cou016_I’m scared..wav|怖い 私
dataset/Cou016_What should I do?.wav|どうすればいいの? 私
dataset/Cou017_Don’t cry..wav|泣かないで
dataset/Cou016_I just don’t want to see any more bad dreams. I think that's how i feel..wav|変な夢を見なくしたいだけ だと思う
dataset/Cou016_I’m leaving. I’m going home..wav|私、帰る
dataset/Cou017_Touko-san, don’t cry..wav|ヨウコさん、泣かないで
dataset/Cou017_Joy?.wav|嬉しくて?
dataset/Cou017_I lied to you... I didn’t keep the diary..wav|レイン、嘘ついてた。 本当は日記つけてなかったの?
dataset/Cou017_I’m really happy, too. I feel so close to you..wav|レインも嬉しいよ。トウコさんがとっても近くに感じられる。
dataset/Cou018_And the next time I hear the voices, I’ll listen to see what they are saying..wav|それから今度声が聞こえたら、なんて言ってるかちゃんと聞いてみる。
dataset/Cou017_Yes..wav|
dataset/Cou018_I made this for you with my mom..wav|これ、お母さんと一緒に作ったの
dataset/Cou018_Happy birthday, by the way, Touko-san..wav|それから… とうこさん お誕生日おめでとう
dataset/Cou018_It won’t go with black tea?.wav|紅茶と合わない?
dataset/Cou018_I’m not forcing myself..wav|無理なんかしてないよ
dataset/Cou018_Is it good?.wav|おいしい?
dataset/Cou018_Really?.wav|本当?
dataset/Cou018_Sensei, it hurts..wav|先生、痛いよ
dataset/Cou018_Sure..wav|Mmm!
dataset/Cou018_The diary is for me, after all..wav|自分のためだもの
dataset/Cou018_Touko-san, I’ll start keeping my diary. Honestly, this time..wav|東子さん、私日記つける。今度は本当。
dataset/Cou018_You said that you like tea, so we made the cookies that way..wav|先生が紅茶が好きだって言ってたから
dataset/Cou018_Then, I’ll tell you what they said, Touko-san..wav|それで、トウコさんになんて聞こえたか教えるね
dataset/Cou019_A purplish color that looks like a curtain..wav|紫っぽくカーテンみたいな
dataset/Cou018_Should I have made cookies with a different flavor?.wav|違う味にすればよかった?
dataset/Cou019_A secret?.wav|秘密?
dataset/Cou019_Buildings..wav|ビール
dataset/Cou017_You were trying to be helpful to me..wav|トウコさんはレインのためを思って言ってくれたのに
dataset/Cou019_But I wanted to have the same score as all the other kids..wav|でも、みんなと同じが良かった
dataset/Cou019_I don’t know..wav|わからない
dataset/Cou019_But I had a feeling that I’m probably different from everybody else..wav|でも、たぶん、みんなと違うんだって気がしてた。
dataset/Cou019_I can’t see anything further..wav|見えない
dataset/Cou019_I think that I will be disliked..wav|嫌われちゃうから
dataset/Cou019_Is that okay?.wav|いいの?
dataset/Cou017_I’m sorry, Touko-san..wav|どうこさんごめんなさい
dataset/Cou019_It makes me very uncomfortable..wav|気味悪いみたい
dataset/Cou019_I feel like I’m the only person who can hear and see some things..wav|聞こえるのも見えるのもいつも私だけ
dataset/Cou019_Mountains..wav|山
dataset/Cou019_I write in my diary everyday. Sometimes I don’t have much to write, though..wav|日記、毎日つけてるよ あんまり書くことない日もあるけど いい?
dataset/Cou019_I’ve been okay..wav|大丈夫だよ
dataset/Cou019_One-point-five..wav|1.5
dataset/Cou019_No. I want to see you. I don’t want to see any of the other doctors here. They all scare me..wav|いや、私、トウコさんがいい。 ここの先生ってみんな怖い?
dataset/Cou019_Really good?.wav|すごく?
dataset/Cou019_Touko-san..wav|トウコさん
dataset/Cou019_Oh..wav|そうなんだ
dataset/Cou019_What?.wav|なに?
dataset/Cou020_But?.wav|ただ…
dataset/Cou020_Am I hearing that information?.wav|その声が聞こえるの?私
dataset/Cou019_Trees and a gate to the research center in the distance..wav|銀杏の木と遠くに門
dataset/Cou020_Contemplations?.wav|燃料?
dataset/Cou020_Clouds. The sun. The stars..wav|雲とか太陽とか 星とか
dataset/Cou020_Good morning, Touko-san..wav|おはようございます、トウコさん
dataset/Cou020_I’m not delusional?.wav|妄想じゃない?
dataset/Cou020_Paranoia?.wav|被害妄想?
dataset/Cou020_No, I haven’t. Honestly..wav|ううん、見えないよ。ほんとだよ。
dataset/Cou020_More than one. Men and women..wav|大勢 男の人も女の人も
dataset/Cou020_There’s a sickness like that?.wav|そういう病気があるの?
dataset/Cou020_Probably not..wav|多分いないと思う
dataset/Cou020_There’s air..wav|空気はあるよね
dataset/Cou020_Yes. The information travels wirelessly?.wav|知ってる。無線で送られてくるんだよね。
dataset/Cou021_Can I be cured?.wav|治るの?
dataset/Cou013_Wiring that carries electricity..wav|路線とか電気が伝わるもの?
dataset/Cou020_Sometimes I hear gibberish..wav|なんか、ごちゃごちゃ言って聞こえる時はあるけど…
dataset/Cou021_If you had to guess, what could it be?.wav|当てはめると何になるの?
dataset/Cou021_I’m really sick..wav|いっぱい病気なんだ 私
dataset/Cou021_The sickness of thinking that I am sick when I’m not sick?.wav|本当は病気じゃない病気?
dataset/Cou021_Uh, huh..wav|うん
dataset/Cou021_Poor self-esteem?.wav|事故を過小評価?
dataset/Cou022_Am I sick because I came to the hospital?.wav|病院に来たから病気になったの?
dataset/Cou022_Are you a counselor, Touko-san? You said before that you’re a doctor..wav|トウコさんはカウンセラーなの? 前はお医者さんだって
dataset/Cou022_But it isn’t usual..wav|でも、普通じゃない。
dataset/Cou022_But am I not mentally ill? You said that the things I see are hallucinations..wav|私精神病じゃないの 私が見えるあれは 幻覚なんだって
dataset/Cou022_Do I mind things too much?.wav|私、気にしすぎ?
dataset/Cou022_Are you a doctor or a counselor when you see me?.wav|今は私と会う時はどっち?
dataset/Cou022_How are the two different?.wav|何が違うの?
dataset/Cou021_I don’t want to listen anymore..wav|もういいよ
dataset/Cou022_I’m me. That person is, too..wav|私なの、その人も
dataset/Cou022_I don't mind anymore. I’m getting used to this. Still, I can't get used to that..wav|でも、もう気になってないよ。慣れてきた。 でも、あれは慣れない。
dataset/Cou022_I’m not the me that I am right now..wav|私が今の私じゃないの
dataset/Cou022_What can I do about it, Touko-san?.wav|どうすればいいの? トウコさん
dataset/Cou023_I don’t want a talent like that..wav|いらないよ、そんなの
dataset/Cou023_But I won’t know if I’ve gotten better. I might have nightmares again..wav|でも治ったかわからない いつまた見るかもしれない
dataset/Cou022_I don’t know. Have you ever thought that you aren’t you, Touko-san?.wav|よくわからない。 とうこさんは自分が自分だと思えないことってない?
dataset/Cou023_That’s true, Touko-san..wav|そうだね、トウコさん
dataset/Cou023_I won’t change?.wav|私はこのまま?
dataset/Cou023_What do you mean?.wav|違うって?
dataset/Cou023_Probably....wav|多分
dataset/Cou024_Good morning, Touko-san..wav|おはよう トウコさん
dataset/Cou024_Ok..wav|うん!
dataset/Cou024_Irreversible?.wav|取り返しのつかない?
dataset/Cou024_See things differently?.wav|別な価値観?
dataset/Cou024_I am afraid of those things..wav|私は怖い
dataset/Cou024_Uh huh. I thought about the things you talked about last month and I’ve somehow been feeling better..wav|うん。先月なんかいろいろトーコさんに聞いて、なんとなくだけど楽な気分になれたの。
dataset/Cou025_I don’t remember... many times..wav|覚えてない バイ
dataset/Cou025_I was eleven..wav|11歳の時
dataset/Cou024_I don’t want to die..wav|私、死にたくない もう
dataset/Cou025_I don’t mean that. I want to know more about your work. Is that okay?.wav|違うの。先生のお仕事のこと、もっと知りたいの。 ダメ?
dataset/Cou025_I won’t get better right away?.wav|まだ治らないの?
dataset/Cou025_No..wav|ないよ
dataset/Cou026_Alcoholism?.wav|アルコール中毒?
dataset/Cou025_Yes, I promise..wav|うん、約束する
dataset/Cou025_No. I like seeing you..wav|そんなことないよ トウコさんに会いたいって思うことあるもの
dataset/Cou026_And a psychiatrist is someone who heals mental illnesses?.wav|精神科医って精神病治す人でいいの?
dataset/Cou025_Yes. In exchange, I want you to teach me some things..wav|うん。その代わり、色々教えて欲しいの。
dataset/Cou026_But normal people aren’t that way, are they?.wav|でも、普通の人はならないんだよね
dataset/Cou026_I don’t understand what stress is..wav|ストレスってよくわからない?
dataset/Cou026_That’s scary..wav|怖いね
dataset/Cou026_Isn’t that dangerous?.wav|危なくない?
dataset/Cou026_What is mental illness?.wav|精神病って本当はどんな病気なの?
dataset/Cou026_Yes. What other kinds of mental illness are there?.wav|うん。他に病気の種類は?
dataset/Cou026_What sort of reason, for instance?.wav|何かの原因? 例えば?
dataset/Cou026_You are a counselor and a psychiatrist, Touko-san?.wav|先生はカウンセラーで精神科医なんだよね
dataset/Cou027_No. It’s just my own style..wav|違う、私だけ
dataset/Cou027_It comes from the right, and probably, that’s why it goes out of the left. That’s why....wav|右から入ってくるの 多分 それで左から出てくるの だから そう
dataset/Cou024_Suicide?.wav|自殺?
dataset/Cou027_You did, Touko-san?.wav|トウコさんも?
dataset/Cou027_It’s weird?.wav|変だよね
dataset/Cou028_I know the word, not its meaning..wav|言葉だけだよ。意味なんてよくわからない。
dataset/Cou028_It’s only inside of their heads?.wav|心の中だけの病気?
dataset/Cou028_No, I don’t have that kind of problem..wav|そんなのないよ
dataset/Cou028_That’s awful. You won’t teach me anymore?.wav|ひどい先生、もう教えてくれないの?
dataset/Cou014_Probably..wav|多分
dataset/Cou026_Yes..wav|Hmm.
dataset/Cou014_No, I can’t..wav|ううん、かけない。
dataset/Cou028_The mind changes and becomes distorted?.wav|神経が変になっておかしくなる病気
dataset/Cou027_A magic charm?.wav|おまじない
dataset/Cou029_ Who decides the names of diseases?.wav|病名って誰が決めるの?
dataset/Cou029_There’s mental illness you don't understand? Not even you?.wav|わからない?先生でも?
dataset/Cou028_Psychosomatic?.wav|心身傷って?
dataset/Cou030_I haven’t traveled anywhere during summer vacation..wav|旅行なんてしたことないよ
dataset/Cou029_You do this even if you don’t know if a person can be cured?.wav|治るかどうかもわからないのに
dataset/Cou031_I don’t understand..wav|わかんない
dataset/Cou031_If you can’t link things together, you’re sick?.wav|結びつかないと病気なの?
dataset/Cou031_I feel that my memories aren’t my memories..wav|私、私の記憶が自分じゃない気がする
dataset/Cou030_No. How does a memory enter the brain?.wav|ううん それで記憶って脳にどう入っているの?
dataset/Cou031_Even when it’s me. But I don’t remember anything else..wav|私なのに、でもそれ以外は何も思い出せない。
dataset/Cou031_If you generate a recording, you have a memory?.wav|記録を再生すれば記憶なの?
dataset/Cou031_Normal?.wav|普通?
dataset/Cou032_"I Love, Love, Really Love"?.wav|好き好き大好き?
dataset/Cou032_And?.wav|それで?
dataset/Cou032_Do I have to think about all this stuff?.wav|そんなに考えなくちゃいけないの?
dataset/Cou032_I don’t really know..wav|よくわからなくなっちゃった
dataset/Cou032_I don’t really understand, but I probably am..wav|よくわからないけど、たぶんそうだと思う。
dataset/Cou032_I don’t understand..wav|よくわからない
dataset/Cou032_I like you because you’re kind..wav|優しいから好き
dataset/Cou032_I feel like I might start to not like you..wav|私なんだか先生のこと嫌いになっちゃいそう
dataset/Cou031_Things we can’t do anything about?.wav|仕方がないこと?
dataset/Cou032_Which?.wav|どっちか?
dataset/Cou032_Let’s stop this..wav|もうやめようよ
dataset/Cou032_R.D. Laing?.wav|R.D.Rain?
dataset/Cou031_There are memories in the body and the brain?.wav|脳や体の中に記憶があるの?
dataset/Cou032_Yes I do..wav|本当だよ
dataset/Cou032_Yes, I do..wav|うん、好き
dataset/Cou032_Yes..wav|Hmm.
dataset/Cou032_You don’t get angry and you’re polite..wav|怒らないし、親切だから
dataset/Cou033_I want to know everything about you!!.wav|私は先生のこと全部わかりたい
dataset/Cou032_You’re kind and you listen to me..wav|優しいところと、レインの話を聞いてくれるところ。
dataset/Cou029_I see. It would be so much better if we could understand everything..wav|そうなんだ 全てわかってしまえばいいのにね
dataset/Cou033_It's impossible after all, isn’t it?.wav|結局、ダメなんだね
dataset/Cou030_Memories? Do you mean records?.wav|記憶? 記録?
dataset/Cou019_Is that the reason?.wav|それが原因?
dataset/Cou033_But what if you would answer every question I ask..wav|でも先生はレンが聞いたら説明してくれるよ
dataset/Cou033_Sounds lonely....wav|なんだか寂しくなっちゃった
dataset/Cou033_Yes, indeed..wav|うん、嬉しい
dataset/Cou033_Impossible?.wav|可能?
dataset/Cou033_You like the mysterious Lain?.wav|よくわからないレインが好き?
dataset/Cou034_But she is so shy..wav|でも恥ずかしがり屋だからダメだよ
dataset/Cou034_Good experience?.wav|いい経験?
dataset/Cou034_It sounds difficult..wav|難しい
dataset/Cou034_Misato..wav|みさとちゃん
dataset/Cou034_That story reminds you of a bad memory..wav|嫌なこと思い出したんでしょ?
dataset/Cou034_She is really cheerful and nice to me. I’m really happy around her..wav|明るくて仲良くしてくれる。一緒にいると楽しい。
dataset/Cou034_Maybe... I’ll ask her anyway. I’m guessing she wouldn’t want to..wav|多分、聞いてみる。でも、多分嫌だって言うと思うの。
dataset/Cou034_Were you happy?.wav|先生は楽しくなかった?
dataset/Cou034_Yeah... I’m sorry.wav|うん。ごめんなさい。
dataset/Cou034_We read books together at her place and I listen to her playing violin sometimes..wav|ミサドちゃんのお家に行ったりして本を一緒に読んだりミサドちゃんのバイオリン聞いたり
dataset/Cou034_You know, playing and talking with my best friend..wav|お友達と話したり、一緒に遊んだりするのが…
dataset/Cou034_Yes, I am!.wav|うん、すごく楽しいよ
dataset/Cou035_How do you express it in technical jargon?.wav|専門用語でなんていうの?こういうことを
dataset/Cou035_And even though I don’t know where it is, when I play at a park that I’ve never seen, for me it seems like the place I usually go..wav|そこかどこかわからないけど でも、私にとっては いつもの自分の遊び場のような
dataset/Cou035_I don’t know, but Lain was laughing when it happened..wav|わからない。でも、私は笑っていた。
dataset/Cou035_I just feel something is different..wav|うん、なんかちょっと違うって
dataset/Cou035_I can’t explain very well, but it was Lain..wav|うまく言えないけど、たぶん私なの。
dataset/Cou035_Even though I recognize that I am playing in my house, I feel like it isn’t my house..wav|自分の家で遊んでるって認識してるのに なんか私の家じゃなかったり 見たこともないような公園で遊んでいても
dataset/Cou035_It’s an illness, isn’t it?.wav|病気? だよね
dataset/Cou035_I really want to know about myself!.wav|知りたいの 私のこと
dataset/Cou035_No, you didn’t..wav|違うよ
dataset/Cou035_Let’s see... I don’t know, because I was just watching her....wav|どこだろう?ただ見ていただけだったから、それは…
dataset/Cou035_Touko-san, deja vu isn’t an illness, is it?.wav|アホ子さん、デジャブって病気じゃないよね?
dataset/Cou035_Still, I want to study a lot in order to be like you, Touko-san..wav|私、それでも色々勉強したいの。 トウコさんみたいになりたいの。
dataset/Cou035_Well... I don’t know... It was like I saw myself on the TV... I guess....wav|わからない。まるでビデオを見ているように私が映ってた。
dataset/Cou035_What a relief! I feel better now..wav|よかった。ちょっと安心した。
dataset/Cou033_Still, it would be impossible?.wav|それでもダメ?
dataset/Cou035_You can’t prove that I don’t..wav|違うって証明できない
dataset/Cou036_I guess I understand a little....wav|なんとなくわかってきた
dataset/Cou033_The same person?.wav|同じ人間?
dataset/Cou036_I can get the last part, but it is still beyond my understanding..wav|最後はわかるけど、でもまだわからない。
dataset/Cou036_Right..wav|Hmm.
dataset/Cou035_You didn’t make any mistakes because I insisted that you should answer my question..wav|トウコさんは悪くないの。私が無理やり聞いたんだから。
dataset/Cou036_Not at all..wav|わからない
dataset/Cou036_I guess so..wav|そうだと思う
dataset/Cou036_So is it wrong to think that I understand myself at my age?.wav|そう思うのは錯覚してるってこと?
dataset/Cou036_If it doesn’t?.wav|それが働かないと?
dataset/Cou035_Time is strange for some reason. I can’t figure out if time is fast or slow..wav|なんとなく時間が変な感じで早いのか遅いのかよくわからない気がする
dataset/Cou037_Difficult?.wav|簡単にいかないもの?
dataset/Cou036_The ego is your sense of who you are, isn’t it?.wav|違うって自分を感じることだよね
dataset/Cou037_I mean if....wav|もし…だよ?
dataset/Cou037_And?.wav|それで?
dataset/Cou035_Well, it could be... or could not be... I don’t know... maybe not....wav|そういう気もするけど、よく考えると違うような… やっぱり違うと思う。
dataset/Cou037_Just talking?.wav|話すだけ?
dataset/Cou037_If I became sick, what would you do for it?.wav|もし私が病気だったら、トウコさんはどんな風に治そうって思うの?
dataset/Cou037_So what are you going to do?.wav|じゃあどうするの?
dataset/Cou037_So what would you do?.wav|じゃあどうするの?
dataset/Cou037_Is that enough to recover them from diseases? Sound simple!.wav|本当にそれで治るの? なんか簡単だね
dataset/Cou037_Why you don’t like it?.wav|なんで嫌いなの?
dataset/Cou037_Why wouldn’t you use them?.wav|なんでお薬で治しちゃいけないの?
dataset/Cou037_You must be tired. Should you take a break?.wav|先生疲れてるんだね 少しゆっくり眠った方がいいんじゃない
dataset/Cou038_But it’s on the Web. All sorts of research takes place..wav|でもネットで公開されていたよ いろんな研究の項目が
dataset/Cou038_I checked it out on the Web. I had a test done before, and I was curious..wav|この間ネットで調べたの。私も一回検査したし、興味があったの。
dataset/Cou038_Memories are stored in the hippocampus..wav|記憶が会話にあるって
dataset/Cou038_That’s how the brain gets sick?.wav|それが壊れちゃうの?
dataset/Cou038_I’m sorry, Touko-san..wav|ごめんなさい、トウコさん。
dataset/Cou038_There is brain research at this research center, isn't there?.wav|この研究所も脳の研究してるんでしょ?
dataset/Cou038_I understand. People have their brainwaves tested and have CAT scans to check for it..wav|わかるよ。それを調べるために、脳波検査したりCTスキャンするんだから。
